,F,G1,G2,G3,G4,G5,N,Q1,Q2,Q3,Q4,Q5,bnd_idx
0,0.0253618818309,-0.0032599440743,-0.016021460746,-0.00493520890231,171.541540806,1.87809972431,1000,1.20655945108,0.245440331273,1.31138969059,1.08576082811e-05,0.00134263849085,1
1,0.026225490936,-0.00386832720935,-0.0342601081962,-0.00401334599456,-43.6915502897,1.35774226432,1000,1.33355874505,0.150507839082,1.65744523187,1.36077193088e-05,0.0010949694771,1
2,0.0281368343501,-0.00433414719239,-0.031738400233,-0.00541030572211,-20.6665544022,1.43206618798,1000,1.22169103645,0.16676750345,1.37275696106,1.39280088093e-05,0.00148274161121,1
3,0.0331721452588,-0.00746121422375,-0.116247017272,-0.00597175897746,284.31334851,0.921109483196,1000,1.09294146473,0.0700821161188,1.54141936892,1.36449637864e-05,0.00113811941425,1
4,0.0248876993184,-0.00323966236282,-0.0182243001856,-0.0047405317562,176.656551674,1.93128526146,1000,1.27412253151,0.226432290711,1.31939381497,1.06893461878e-05,0.00109348371307,1
5,0.0248911251496,-0.0029526033846,-0.0181401265351,-0.00408492315591,151.029425152,1.66498984465,1000,1.39772716046,0.227439542807,1.53151581419,1.36740952913e-05,0.00127098088611,1
6,0.0237699729638,-0.00222102931539,-0.00916346828,-0.00407878407285,131.237015583,1.96670313252,1000,1.36526142307,0.330851254356,1.46119913228,1.17861217141e-05,0.00147643835736,1
7,0.0237073865714,-0.00290637836263,-0.00940527994202,-0.00361421464382,132.373586806,1.76151758132,1000,1.13745263116,0.351435933875,1.63211108488,1.26908072462e-05,0.00146123468628,1
8,0.0330009660329,-0.00784374731277,-0.105699481339,-0.00577510368222,249.143463458,0.905493815842,1000,1.03885859191,0.0770250975379,1.58060291828,1.44523993456e-05,0.00107978015045,1
9,0.0255866556501,-0.00388215151498,-0.015275584887,-0.00476724813632,159.502151974,1.758437285,1000,1.11022901796,0.282096950676,1.36572124961,1.3506855683e-05,0.0012438176111,1
10,0.0254113753916,-0.00319618855944,-0.0178492022083,-0.00491404043429,172.975068119,1.85716915714,1000,1.27227110727,0.227757349237,1.31735867777,1.11196830175e-05,0.00128760254343,1
11,0.0254999721492,-0.00429490253528,-0.0204533330464,-0.00475869889466,-29.2275109656,1.77678573109,1000,1.04817346405,0.220042016968,1.3552038273,1.02640420054e-05,0.00108913846127,1
