,N,S_T1,S_T2,S_T3,S_T4,S_T5
0,1000,2.99690059967e-05,-0.00024082777632,0.0282625553789,-2.87064408129e-05,0.876857214208
1,10000,2.0513321597e-05,-4.48094414796e-06,0.0442510595011,2.55196038879e-06,1.0564548178
2,100000,-3.78988985306e-07,-2.34823493093e-05,0.0567837536913,5.50485363626e-06,0.943056940246
